,geographic_name,site_type,longitude,latitude,geometry,date_mod,geo_database,google_maps,open_street_maps,aerial_photograph,cartographic_sheet,dictionary
111,buenos aires,locality,-75.4836976,3.6165931,POINT Z (-75.4836976 3.6165931 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
112,cueva de tuluni,locality,-75.4440347,3.6348664,POINT Z (-75.4440347 3.6348664 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
113,el totumo,locality,-75.4936134,3.6096521,POINT Z (-75.4936134 3.6096521 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
114,tuluni,locality,-75.4720821,3.6524315,POINT Z (-75.47208209999999 3.6524315 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
115,la lopez,locality,-75.4808694,3.6896556,POINT Z (-75.4808694 3.6896556 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
116,santa rosa,locality,-75.3879399,3.6045526,POINT Z (-75.38793990000001 3.6045526 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
117,mesetas de el espinal,locality,-75.3992722,3.6461987,POINT Z (-75.3992722 3.6461987 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
118,esc. la jazminia,school,-75.5857724,3.7004414,POINT Z (-75.5857724 3.7004414 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
119,hacienda portugal,locality,-75.5719477,3.7318991,POINT Z (-75.5719477 3.7318991 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
120,hacienda jazminia,locality,-75.5667066,3.7015852,POINT Z (-75.5667066 3.7015852 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
121,san pedro,locality,-75.5532495,3.7259496,POINT Z (-75.55324950000001 3.7259496 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
122,las cruces,locality,-75.5548077,3.6954941,POINT Z (-75.5548077 3.6954941 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
123,albania,locality,-75.5769056,3.7299159,POINT Z (-75.5769056 3.7299159 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
124,aguayo,locality,-75.5260172,3.7129912,POINT Z (-75.5260172 3.7129912 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
