,geographic_name,geometry,site_type,date_mod,dictionary,geo_database,google_maps,open_street_maps,aerial_photograph,cartographic_sheet,longitude,latitude
1812,La Manzana,POINT Z (-75.47214895530792 3.939199886968602 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47214895530792,3.9391998869686016
1813,El Mirador de Calarma,POINT Z (-75.45290213554701 3.909867158814513 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.452902135547,3.909867158814513
1814,Jazmines,POINT Z (-75.46313356681686 3.911878031163134 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46313356681686,3.9118780311631345
1815,El Mirador,POINT Z (-75.46266403336925 3.91275963552188 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46266403336925,3.91275963552188
1816,El Mango,POINT Z (-75.4633151635323 3.913672006993307 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.4633151635323,3.9136720069933073
1817,Altamira,POINT Z (-75.46133277407763 3.913055451050911 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46133277407763,3.913055451050911
1818,Guamal,POINT Z (-75.46087356467304 3.91033216839165 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46087356467304,3.91033216839165
1819,El Suazo,POINT Z (-75.46602148788641 3.910095274478225 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46602148788641,3.9100952744782247
1820,El Paraíso,POINT Z (-75.4659140063503 3.913863432552251 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.4659140063503,3.9138634325522506
1821,Santa Isabel,POINT Z (-75.46585065501398 3.914842233799956 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46585065501398,3.9148422337999556
1822,Betania,POINT Z (-75.46011645545605 3.914117719859999 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46011645545605,3.914117719859999
1823,Oriente,POINT Z (-75.45932496457695 3.916745203419417 0),,2015-04-28T00:00:00+00:00,True,True,False,False,False,False,-75.45932496457695,3.9167452034194166
1824,Santa Lucia,POINT Z (-75.45985085519578 3.910611156896684 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.45985085519578,3.910611156896684
1825,Las Brisas,POINT Z (-75.4582055763249 3.917497390919624 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.4582055763249,3.917497390919624
1826,La Cumbre,POINT Z (-75.45444351080272 3.921059549193484 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.45444351080272,3.921059549193484
1827,Irlanda,POINT Z (-75.46069527842397 3.920445675706531 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46069527842397,3.9204456757065307
1828,Las Brisas,POINT Z (-75.45824988988443 3.924707065360407 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.45824988988443,3.9247070653604075
1829,Los Guamos,POINT Z (-75.45813475652626 3.923826426797488 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.45813475652626,3.9238264267974885
1830,Patio Bonito,POINT Z (-75.46031257731276 3.924752580007496 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46031257731276,3.9247525800074965
1831,Pensil Las Violetas,POINT Z (-75.47115460585326 3.937015807950108 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47115460585326,3.937015807950108
1832,Las Brisas,POINT Z (-75.47779131424464 3.933465051169393 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47779131424464,3.9334650511693927
1833,La Arabia,POINT Z (-75.47001826666246 3.937343944842538 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47001826666246,3.937343944842538
1834,La Florida,POINT Z (-75.46810695536225 3.94044634609289 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46810695536225,3.9404463460928905
1835,La Miranda,POINT Z (-75.49664483054882 3.915160373397448 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49664483054882,3.9151603733974483
1836,El Vergel,POINT Z (-75.49787690530331 3.913180196397055 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49787690530331,3.9131801963970547
1837,Los Naranjos,POINT Z (-75.50852570426835 3.90773232104268 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.50852570426835,3.90773232104268
1838,Buena Vista,POINT Z (-75.53571812639665 3.923990301105824 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.53571812639665,3.923990301105824
1839,Santana,POINT Z (-75.52147551012347 3.908550255084551 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.52147551012347,3.908550255084551
1840,El Jazmín,POINT Z (-75.54550850335728 3.916260534835257 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.54550850335728,3.9162605348352573
1841,La Palmera,POINT Z (-75.5543744236769 3.903814724540886 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.5543744236769,3.9038147245408856
1842,Peña Lisa,POINT Z (-75.55179598307582 3.907304581545105 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.55179598307582,3.9073045815451053
1843,El Rubí,POINT Z (-75.54505457645882 3.89347798605399 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.54505457645882,3.8934779860539903
1844,La Aldea,POINT Z (-75.47130745379054 3.941028192805237 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47130745379054,3.9410281928052373
1845,La Esperanza,POINT Z (-75.47441804112185 3.936390488604114 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47441804112185,3.936390488604114
1846,El Retorno,POINT Z (-75.46890447386927 3.927328696034079 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46890447386927,3.9273286960340794
