,geographic_name,site_type,longitude,latitude,geometry,date_mod
112,Cueva De Tuluni,locality,-75.4440347,3.6348664,POINT Z (-75.4440347 3.6348664 0),2021-08-27T00:00:00+00:00
113,El Totumo,locality,-75.4936134,3.6096521,POINT Z (-75.4936134 3.6096521 0),2021-08-27T00:00:00+00:00
114,Tuluni,locality,-75.4720821,3.6524315,POINT Z (-75.47208209999999 3.6524315 0),2021-08-27T00:00:00+00:00
115,La Lopez,locality,-75.4808694,3.6896556,POINT Z (-75.4808694 3.6896556 0),2021-08-27T00:00:00+00:00
116,Santa Rosa,locality,-75.3879399,3.6045526,POINT Z (-75.38793990000001 3.6045526 0),2021-08-27T00:00:00+00:00
117,Mesetas De El Espinal,locality,-75.3992722,3.6461987,POINT Z (-75.3992722 3.6461987 0),2021-08-27T00:00:00+00:00
118,Esc. La Jazminia,school,-75.5857724,3.7004414,POINT Z (-75.5857724 3.7004414 0),2021-08-27T00:00:00+00:00
119,Hacienda Portugal,locality,-75.5719477,3.7318991,POINT Z (-75.5719477 3.7318991 0),2021-08-27T00:00:00+00:00
120,Hacienda Jazminia,locality,-75.5667066,3.7015852,POINT Z (-75.5667066 3.7015852 0),2021-08-27T00:00:00+00:00
121,San Pedro,locality,-75.5532495,3.7259496,POINT Z (-75.55324950000001 3.7259496 0),2021-08-27T00:00:00+00:00
122,Las Cruces,locality,-75.5548077,3.6954941,POINT Z (-75.5548077 3.6954941 0),2021-08-27T00:00:00+00:00
123,Albania,locality,-75.5769056,3.7299159,POINT Z (-75.5769056 3.7299159 0),2021-08-27T00:00:00+00:00
124,Aguayo,locality,-75.5260172,3.7129912,POINT Z (-75.5260172 3.7129912 0),2021-08-27T00:00:00+00:00
125,Granja Agricola,locality,-75.5062205,3.7229749,POINT Z (-75.5062205 3.7229749 0),2021-08-27T00:00:00+00:00
126,El Guamal,locality,-75.5213775,3.7020102,POINT Z (-75.5213775 3.7020102 0),2021-08-27T00:00:00+00:00
127,Buenos Aires,locality,-75.5230773,3.7289243,POINT Z (-75.5230773 3.7289243 0),2021-08-27T00:00:00+00:00
