	level_0	index	geographic_name	latitude	longitude	site_type
181	217	12	Kids_boutique	3.7214214	-75.48730069999999	point_of_interest
182	218	13	Roott+co	3.7216944	-75.4868985	clothing_store
183	219	14	Ferretería El Edén Del Sur	3.7197389	-75.4948683	hardware_store
184	220	15	EL RINCON MUSICAL	3.7226738	-75.48598559999999	electronics_store
185	221	16	FERROMATERIALES J.L	3.7221299	-75.48544369999999	hardware_store
186	222	17	La Botella de Oro	3.7238551	-75.4848574	liquor_store
187	223	18	Kaprichosas Fashion	3.7231026	-75.4858438	clothing_store
188	226	1	Tienda Alesis	3.7178199	-75.472673	supermarket
189	227	2	Grano De Oro Chaparral	3.7235656	-75.48601819999999	supermarket
190	228	3	Plaza De Mercado	3.7224462	-75.4837708	supermarket
191	229	4	Mercadería Justo & Bueno	3.721927	-75.486536	supermarket
192	230	5	Tienda Divino Niño	3.721931099999999	-75.48045909999999	supermarket
193	231	6	Tienda El Porvenir	3.7220142	-75.48266269999999	supermarket
194	232	7	Supermercado Merka Yas	3.724787	-75.4765991	supermarket
195	234	9	Supermercados y Licorera Felipe Acuña	3.7218689	-75.48234800000002	supermarket
196	236	11	Mercaderia Justo & Bueno - Chaparral	3.7244817	-75.48316369999999	supermarket
197	237	12	TIENDAS D1	3.7242689	-75.48581089999999	supermarket
198	238	13	Ara Supermercado	3.7248848	-75.48548439999999	supermarket
199	239	14	Supermercado Supermercadesa SAS	3.7224396	-75.4871907	supermarket
200	240	15	Gran Fruver La 10	3.720992	-75.4894041	supermarket
201	241	16	Surtifruver de colombia	3.7230537	-75.4848501	supermarket
202	242	17	Justo y Bueno	3.7244824	-75.48315319999999	supermarket
203	244	19	Servifruver El Nuestro	3.7226175	-75.4845366	supermarket
204	245	0	COINTRASUR	3.7236028	-75.48544249999999	point_of_interest
205	246	0	Tolima University	3.7172918	-75.47556999999999	university
206	247	1	CUN - Corporación Unificada Nacional de Educación Superior	3.7199794	-75.4955239	university
207	248	2	EDUPOL - POLITECNICO TOLIMENSE	3.7228638	-75.4871747	university
